Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"As an admin, I want to check functionality of ‘Pagination Field’ so that I can get required number of items on the screen.",RE-27,10056,Story,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 11:05 AM,08/Sep/21 10:31 AM,08/Sep/21 10:31 AM,08/Sep/21 6:47 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0005q:9,,RE Sprint 1,,,,,,,,Done
Verify if the 'Filter' tab is clickable or not.,RE-26,10055,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 11:01 AM,08/Sep/21 8:46 AM,07/Sep/21 9:54 AM,08/Sep/21 8:46 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-23,,,,,,,,,{},,,,,,,0|i0009b:,,RE Sprint 1,,,,,,,,Done
Verify that the result get filtered based on the media item and date selected from the dropdown menu.,RE-24,10053,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 9:17 AM,08/Sep/21 8:46 AM,07/Sep/21 9:51 AM,08/Sep/21 8:46 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-23,,,,,,,,,{},,,,,,,0|i00093:,,RE Sprint 1,,,,,,,,Done
"As an admin, I want to check functionality of ‘Filter’ tab so that I can get a filtered image list.",RE-23,10052,Story,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 9:05 AM,08/Sep/21 10:31 AM,08/Sep/21 10:31 AM,08/Sep/21 6:47 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0005q:i,,RE Sprint 1,,,,,,,,Done
Check that the mandatory fields are indicated with an asterisk.,RE-22,10051,Bug,To Do,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 7:09 AM,08/Sep/21 4:01 PM,08/Sep/21 4:30 PM,,,0,"Description:

After selecting the Image and clicking on edit tab admin should be able to see required fields marked with asterisk sign.

steps to reproduce:

# Open the browser.
# Enter the Real Estate URL.
# Login page appears on the screen.
# Enter Username and Password.
# Click on sign in tab.
# Real Estate webpage appears on the screen.
# Go to the media section.
# Media library will appear.
# Click on edit option.
# Caption, Alternative text, Description, File type, File size, File name, File URL fields will appear.
# Required fields does not contain asterisk sign next to it.



Expected Result:

Mandatory fields should contain asterisk sign next to them.



Actual Result:

Mandatory fields does not contain asterisk sign.



!image-20210906-072650.png|width=1334,height=686!",,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,RE-17,,RE-57,,06/Sep/21 7:27 AM;ug:23e29b3d-77af-49b4-8b1d-d67417085d00;image-20210906-072650.png;https://corporateola10.atlassian.net/secure/attachment/10006/image-20210906-072650.png,,,,,,,{},,,,,,,0|i0008v:,,RE Sprint 1,,,,,,,,To Do
Verify the image after updating it.,RE-20,10049,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 6:06 AM,08/Sep/21 8:46 AM,07/Sep/21 9:30 AM,08/Sep/21 8:46 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-17,,,,,,,,,{},,,,,,,0|i0008n:,,RE Sprint 1,,,,,,,,Done
"Verify if caption, alternative text and description field accepts alphanumeric characters.",RE-19,10048,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 4:10 AM,08/Sep/21 8:45 AM,08/Sep/21 6:24 AM,08/Sep/21 8:45 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-17,,,,,,,,,{},,,,,,,0|i0008f:,,RE Sprint 1,,,,,,,,Done
Verify all the required fields are present or not.,RE-18,10047,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 3:48 AM,08/Sep/21 8:45 AM,09/Sep/21 4:55 AM,08/Sep/21 8:45 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-17,,,,,,,,,{},,,,,,,0|i00087:,,RE Sprint 1,,,,,,,,Done
As an admin I want to ‘Edit Image’ so that I can add more features in the image.,RE-17,10046,Story,Blocked,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 3:46 AM,08/Sep/21 10:32 AM,08/Sep/21 10:32 AM,,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0005q:,,RE Sprint 1,,,,,,,,In Progress
Check for autosuggestions in 'Search Media Items' field for new search  ,RE-16,10045,Bug,To Do,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,05/Sep/21 2:11 PM,08/Sep/21 4:11 PM,08/Sep/21 4:02 PM,,,0,"Description:

When an admin login the real estate application and searches for new items then he or she would be able to get the autosuggestions for easily accessing the files.



Steps to reproduce:

# Open the browser.
# Enter the Real Estate URL.
# Login page appears on the screen.
# Enter Username and Password.
# Click on sign in tab.
# Real Estate webpage appears on the screen.
# Go to the media section.
# Media library will appear.
# Go to the ‘search media items’ field available on the screen.
# Click on 'search media item' field and enter initial letter of picture title which is not previously searched.
# Autosuggestions will not appear for new search.
# click on enter tab.



Expected Result:

After entering data in the ‘Search Media Items’ section, autosuggestions should appear.



Actual Result:

Autosuggestions are not appearing in the ‘Search Media Items’ area.

!image-20210905-143900.png|width=319,height=99!

!image-20210905-145026.png|width=306,height=82!",,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,RE-12,,RE-56,,05/Sep/21 2:59 PM;ug:23e29b3d-77af-49b4-8b1d-d67417085d00;image-20210905-143900.png;https://corporateola10.atlassian.net/secure/attachment/10005/image-20210905-143900.png,05/Sep/21 2:59 PM;ug:23e29b3d-77af-49b4-8b1d-d67417085d00;image-20210905-145026.png;https://corporateola10.atlassian.net/secure/attachment/10004/image-20210905-145026.png,,,,,,{},,,,,,,0|i0007z:,,RE Sprint 1,,,,,,,,To Do
Check the field by entering initial few letters of already searched picture.,RE-14,10043,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,05/Sep/21 1:36 PM,08/Sep/21 8:45 AM,09/Sep/21 4:55 AM,08/Sep/21 8:45 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-12,,,,,,,,,{},,,,,,,0|i0007r:,,RE Sprint 1,,,,,,,,Done
Verify if the field contains previously searched items after clicking on it and did not gets deleted after refreshing.,RE-13,10042,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,05/Sep/21 1:28 PM,08/Sep/21 8:45 AM,09/Sep/21 4:55 AM,08/Sep/21 8:45 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-12,,,,,,,,,{},,,,,,,0|i0007j:,,RE Sprint 1,,,,,,,,Done
As an admin I want to ‘Search Media Items’ so that I can get required image list.,RE-12,10041,Story,Blocked,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,05/Sep/21 1:24 PM,08/Sep/21 10:32 AM,08/Sep/21 10:32 AM,,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0005p:,,RE Sprint 1,,,,,,,,In Progress
Verify if 'pagination' field displays record according to entered number or by using up-down arrow tab .,RE-11,10040,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,05/Sep/21 1:16 PM,08/Sep/21 8:45 AM,07/Sep/21 3:42 PM,08/Sep/21 8:45 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-27,,,,,,,,,{},,,,,,,0|i0007b:,,RE Sprint 1,,,,,,,,Done
Uncheck one or two checkbox and verify if according to selection data gets displayed on the screen or not.,RE-10,10039,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,03/Sep/21 10:01 AM,08/Sep/21 8:44 AM,07/Sep/21 2:01 PM,08/Sep/21 8:44 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-7,,,,,,,,,{},,,,,,,0|i00073:,,RE Sprint 1,,,,,,,,Done
"check if author, uploaded to, comments and date checkbox is selectable or not.",RE-9,10038,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,03/Sep/21 9:32 AM,08/Sep/21 8:45 AM,07/Sep/21 1:58 PM,08/Sep/21 8:45 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-7,,,,,,,,,{},,,,,,,0|i00077:,,RE Sprint 1,,,,,,,,Done
Verify if columns and pagination field appears when 'Screen Options' tab is selected.,RE-8,10037,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,03/Sep/21 8:59 AM,08/Sep/21 8:38 AM,09/Sep/21 4:55 AM,08/Sep/21 8:38 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-7,,,,,,,,,{},,,,,,,0|i000e5:i,,RE Sprint 1,,,,,,,,Done
As an admin I want to check functionality of ‘Screen Options’ field so that I can see the changes on the screen.,RE-7,10036,Story,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,03/Sep/21 8:48 AM,08/Sep/21 10:33 AM,08/Sep/21 10:33 AM,08/Sep/21 6:39 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0005n:,,RE Sprint 1,,,,,,,,Done
Verify the field by using browser uploader option.,RE-6,10035,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,03/Sep/21 7:20 AM,08/Sep/21 8:33 AM,09/Sep/21 4:31 AM,08/Sep/21 8:33 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,RE-5,RE-2,,,,,,,,,{},,,,,,,0|i000e6:,,RE Sprint 1,,,,,,,,Done
Verify the field by dragging the image file into ‘drop file here’ section.,RE-5,10034,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,03/Sep/21 6:45 AM,08/Sep/21 8:32 AM,08/Sep/21 4:40 PM,08/Sep/21 8:32 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,RE-4,RE-2,,,,,,,,,{},,,,,,,0|i000e5:,,RE Sprint 1,,,,,,,,Done
Verify the functionality of ‘Add New’ tab.,RE-4,10033,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,03/Sep/21 6:10 AM,08/Sep/21 8:32 AM,08/Sep/21 8:26 AM,08/Sep/21 8:32 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-2,,,,,,,,,{},,,,,,,0|i000e3:,,RE Sprint 1,,,,,,,,Done
As an admin I want to ‘Add New’ image in media so that I can add multiple images.,RE-2,10031,Story,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,03/Sep/21 6:05 AM,08/Sep/21 7:36 AM,08/Sep/21 7:40 AM,08/Sep/21 6:47 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-1,,,,,,,,,{},,,,,,,0|i0005l:,,RE Sprint 1,,,,,,,,Done
Media,RE-1,10030,Epic,In Progress,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,02/Sep/21 6:29 AM,08/Sep/21 10:33 AM,08/Sep/21 7:37 AM,,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},ghx-label-10,,Media,To Do,,,0|i0005j:,,RE Sprint 1,,,,,,,,In Progress
