Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Check that 'view' field is clickable or not.,RE-47,10076,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 2:13 PM,08/Sep/21 8:49 AM,07/Sep/21 3:37 PM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,RE-46,RE-49,,,,,,,,,{},,,,,,,0|i000dj:,,RE Sprint 1,,,,,,,,Done
Verify if 'view' field get highlighted when mouse is hovered over it.,RE-46,10075,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 2:02 PM,08/Sep/21 8:49 AM,07/Sep/21 4:56 PM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-49,,,,,,,,,{},,,,,,,0|i000db:,,RE Sprint 1,,,,,,,,Done
Verify if 'Add New' tab get highlighted when mouse is hovered over it.,RE-45,10074,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 12:53 PM,08/Sep/21 8:48 AM,07/Sep/21 12:53 PM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-2,,,,,,,,,{},,,,,,,0|i000d3:,,RE Sprint 1,,,,,,,,Done
Verify that the 'edit' field get highlighted when mouse is hovered over it.,RE-44,10073,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 11:50 AM,08/Sep/21 8:49 AM,07/Sep/21 12:17 PM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-17,,,,,,,,,{},,,,,,,0|i000cv:,,RE Sprint 1,,,,,,,,Done
Check that message appears as media file permanently deleted below the Add New tab after deleting the files.,RE-43,10072,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 11:50 AM,08/Sep/21 8:49 AM,07/Sep/21 11:57 AM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-34,,,,,,,,,{},,,,,,,0|i000cn:,,RE Sprint 1,,,,,,,,Done
Verify if 'delete permanently' option permanently deletes the selected files or not.,RE-42,10071,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 11:34 AM,08/Sep/21 8:49 AM,08/Sep/21 4:38 AM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-34,,,,,,,,,{},,,,,,,0|i000cf:,,RE Sprint 1,,,,,,,,Done
Verify the 'thumbnail Icons' present on the extreme left of the filter tab display media in a simple visual grid or a list with columns by switching between them.,RE-41,10070,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 10:08 AM,08/Sep/21 8:49 AM,07/Sep/21 12:38 PM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-23,,,,,,,,,{},,,,,,,0|i000c7:,,RE Sprint 1,,,,,,,,Done
Verify if 'Caption' and 'Alternative' field get highlighted after clicking on them.,RE-40,10069,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 9:33 AM,08/Sep/21 8:49 AM,07/Sep/21 12:39 PM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-17,,,,,,,,,{},,,,,,,0|i000bz:,,RE Sprint 1,,,,,,,,Done
Verify 'description' field by entering more than 100 characters.,RE-39,10068,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 9:12 AM,08/Sep/21 8:49 AM,08/Sep/21 6:34 AM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-17,,,,,,,,,{},,,,,,,0|i000br:,,RE Sprint 1,,,,,,,,Done
Verify selected 'date' checkbox displays date after 24 hours and time in hours before 24 hours after updating the image.,RE-38,10067,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 4:21 AM,08/Sep/21 8:50 AM,07/Sep/21 12:41 PM,08/Sep/21 8:50 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-7,,,,,,,,,{},,,,,,,0|i000bj:,,RE Sprint 1,,,,,,,,Done
